software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1264;screenHeight 633;centerX 632;centerY 316;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 396;cornerY 80;externalRadius 236;internalRadius 156;borderRadius 1;cursorRadius 16;indexOfDifficulty 26.135377181991682;taskRadius 195.5;taskTolerance 47
2025-11-12 15:31:52.677 +0100

timestamp,mouseX,mouseY,mouseInTarget
1762957919763,646,555,0
1762957919958,646,554,0
1762957919969,646,552,0
1762957919979,646,548,0
1762957919988,646,544,0
1762957919997,646,537,0
1762957920005,645,529,1
1762957920010,645,518,1
1762957920018,645,505,1
1762957920025,643,489,1
1762957920036,643,471,0
1762957920036,640,453,0
1762957920049,636,431,0
1762957920049,631,412,0
1762957920065,627,393,0
1762957920073,622,374,0
1762957920078,617,357,0
1762957920089,613,340,0
1762957920098,609,324,0
1762957920104,605,308,0
1762957920110,601,295,0
1762957920119,598,282,0
1762957920127,596,272,0
1762957920138,593,264,0
1762957920145,593,257,0
1762957920151,593,251,0
1762957920159,593,246,0
1762957920159,593,242,0
1762957920178,593,238,0
1762957920178,593,235,0
1762957920191,593,232,0
1762957920191,593,231,0
1762957920207,593,229,0
1762957920216,593,227,0
1762957920228,594,224,0
1762957920236,595,221,0
1762957920245,596,218,0
1762957920251,597,214,0
1762957920255,598,210,0
1762957920265,599,208,0
1762957920272,599,204,0
1762957920272,600,199,0
1762957920287,602,194,0
1762957920287,603,187,0
1762957920303,604,180,0
1762957920309,605,173,0
1762957920321,606,167,0
1762957920321,606,162,0
1762957920340,607,158,0
1762957920348,607,154,0
1762957920353,608,151,0
1762957920353,608,147,0
1762957920368,608,145,1
1762957920378,608,142,1
1762957920382,608,140,1
1762957920382,608,139,1
1762957920398,608,137,1
1762957920398,609,136,1
1762957920417,609,135,1
1762957920417,609,134,1
1762957920509,609,133,1
1762957920525,610,132,1
1762957920526,611,131,1
1762957920541,612,130,1
1762957920546,615,129,1
1762957920556,618,129,1
1762957920562,619,129,1
1762957920572,621,129,1
1762957920578,622,129,1
1762957920590,625,129,1
1762957920595,627,129,1
1762957920605,630,129,1
1762957920613,632,129,1
1762957920620,635,129,1
1762957920620,639,129,1
1762957920636,642,129,1
1762957920636,646,129,1
1762957920652,649,129,1
1762957920652,654,129,1
1762957920668,658,129,1
1762957920674,661,130,1
1762957920684,667,131,1
1762957920690,672,133,1
1762957920701,676,134,1
1762957920701,681,136,1
1762957920716,687,138,1
1762957920720,694,141,1
1762957920732,699,143,1
1762957920738,704,145,1
1762957920748,708,146,1
1762957920748,714,148,1
1762957920764,718,150,1
1762957920770,721,152,1
1762957920780,725,154,1
1762957920787,728,155,1
1762957920796,731,157,1
1762957920796,732,158,1
1762957920812,733,158,1
1762957920818,734,159,1
1762957920828,734,160,1
1762957920828,736,161,1
1762957920844,737,163,1
1762957920846,739,165,1
1762957920860,739,166,1
1762957920865,740,168,1
1762957920875,742,170,1
1762957920875,743,172,1
1762957920891,745,175,1
1762957920897,746,179,1
1762957920907,747,181,1
1762957920909,749,185,1
1762957920923,751,191,1
1762957920928,755,195,1
1762957920939,757,199,0
1762957920939,758,203,0
1762957920955,760,207,0
1762957920960,762,209,0
1762957920971,763,212,0
1762957920975,765,215,0
1762957920988,767,218,0
1762957920988,769,221,0
1762957921004,769,223,0
1762957921005,771,224,0
1762957921019,772,227,0
1762957921026,772,228,0
1762957921035,772,229,0
1762957921035,772,230,0
1762957921050,772,231,0
1762957921066,773,233,0
1762957921082,774,235,0
1762957921090,774,236,0
1762957921100,775,237,0
1762957921100,776,240,0
1762957921117,779,245,0
1762957921130,780,248,0
1762957921138,782,251,0
1762957921146,783,252,0
1762957921146,784,255,0
1762957921161,785,257,0
1762957921166,787,260,0
1762957921177,787,262,0
1762957921186,788,264,0
1762957921194,789,267,0
1762957921194,790,270,0
1762957921209,791,273,0
1762957921215,792,277,0
1762957921234,794,284,0
1762957921240,795,288,0
1762957921249,796,293,0
1762957921258,797,297,0
1762957921258,798,302,0
1762957921272,799,308,0
1762957921281,800,311,0
1762957921289,801,316,0
1762957921289,802,320,0
1762957921304,802,324,0
1762957921304,802,327,0
1762957921321,802,331,0
1762957921329,802,336,0
1762957921336,802,341,0
1762957921336,802,346,1
1762957921356,802,349,1
1762957921364,802,353,1
1762957921368,802,356,1
1762957921378,802,360,1
1762957921386,802,364,1
1762957921396,802,367,1
1762957921402,802,371,1
1762957921410,802,375,1
1762957921417,800,378,1
1762957921425,799,382,1
1762957921432,797,386,1
1762957921442,795,390,1
1762957921447,793,394,1
1762957921458,791,399,1
1762957921463,789,403,1
1762957921463,788,407,1
1762957921482,787,410,1
1762957921486,785,412,1
1762957921495,783,415,1
1762957921505,781,418,1
1762957921511,780,421,1
1762957921511,778,423,1
1762957921527,776,426,1
1762957921535,774,429,1
1762957921543,772,431,1
1762957921543,771,434,1
1762957921558,768,437,1
1762957921570,766,439,1
1762957921577,764,441,1
1762957921577,762,444,1
1762957921592,759,446,1
1762957921592,756,448,1
1762957921611,753,450,1
1762957921611,752,452,1
1762957921626,749,454,1
1762957921638,746,456,1
1762957921641,745,457,1
1762957921655,743,459,1
1762957921655,741,461,1
1762957921670,740,462,1
1762957921670,737,464,1
1762957921686,735,465,1
1762957921686,733,467,1
1762957921702,731,468,1
1762957921702,729,469,1
1762957921718,726,471,1
1762957921718,724,473,1
1762957921734,721,475,1
1762957921740,717,477,1
1762957921742,713,479,1
1762957921753,708,481,1
1762957921766,702,484,1
1762957921766,697,486,1
1762957921782,691,488,1
1762957921782,686,492,1
1762957921798,680,494,1
1762957921798,675,496,1
1762957921807,669,500,1
1762957921815,664,502,1
1762957921815,658,504,1
1762957921829,653,506,1
1762957921829,649,507,1
1762957921876,635,513,1
1762957921877,631,514,1
1762957921888,627,516,1
1762957921896,624,517,1
1762957921904,618,519,1
1762957921912,615,520,1
1762957921920,609,522,1
1762957921925,604,523,1
1762957921941,600,524,1
1762957921942,597,525,1
1762957921957,591,526,1
1762957921961,588,526,1
1762957921972,585,526,1
1762957921972,583,526,1
1762957921990,580,526,1
1762957921996,577,526,1
1762957922004,575,526,1
1762957922010,572,524,1
1762957922020,568,522,1
1762957922020,565,521,1
1762957922036,559,519,1
1762957922042,554,516,1
1762957922052,550,512,1
1762957922058,544,509,1
1762957922068,538,506,1
1762957922068,533,501,1
1762957922083,525,496,1
1762957922083,520,492,1
1762957922100,514,487,1
1762957922100,508,483,1
1762957922117,505,478,1
1762957922122,502,474,1
1762957922131,499,470,1
1762957922136,496,466,1
1762957922147,494,462,1
1762957922147,490,456,1
1762957922163,488,451,1
1762957922163,484,444,1
1762957922179,482,437,1
1762957922185,480,433,1
1762957922195,478,427,1
1762957922195,476,422,1
1762957922213,474,417,1
1762957922217,471,410,1
1762957922237,467,397,1
1762957922244,463,390,1
1762957922248,460,383,1
1762957922259,456,376,1
1762957922266,454,369,1
1762957922275,452,362,1
1762957922275,448,355,1
1762957922291,444,347,1
1762957922291,442,338,1
1762957922307,440,330,1
1762957922313,437,323,1
1762957922323,436,316,1
1762957922323,435,311,1
1762957922339,434,307,1
1762957922339,434,304,1
1762957922355,434,300,1
1762957922355,433,296,1
1762957922371,433,291,1
1762957922379,433,288,1
1762957922387,433,283,1
1762957922395,433,278,1
1762957922403,433,273,1
1762957922409,434,268,1
1762957922420,435,263,1
1762957922425,436,258,1
1762957922434,438,254,1
1762957922441,441,248,1
1762957922450,443,243,1
1762957922457,445,237,1
1762957922467,447,232,1
1762957922467,449,226,1
1762957922484,451,221,1
1762957922488,455,215,1
1762957922500,458,210,1
1762957922508,462,203,1
1762957922514,465,197,1
1762957922523,468,191,1
1762957922530,472,186,1
1762957922538,475,179,1
1762957922546,480,173,1
1762957922554,485,167,1
1762957922562,489,162,1
1762957922562,492,157,1
1762957922578,495,153,1
1762957922586,499,149,1
1762957922594,501,146,1
1762957922594,504,143,1
1762957922610,508,139,1
1762957922618,511,137,1
1762957922628,514,136,1
1762957922630,518,133,1
1762957922642,521,130,1
1762957922649,523,128,1
1762957922659,527,126,1
1762957922659,531,124,1
1762957922674,535,123,1
1762957922682,539,121,1
1762957922690,544,119,1
1762957922697,549,118,1
1762957922708,555,117,1
1762957922708,561,116,1
1762957922722,568,115,1
1762957922726,575,115,1
1762957922740,583,114,1
1762957922740,591,114,1
1762957922753,597,114,1
1762957922753,604,114,1
1762957922769,610,114,1
1762957922773,617,114,1
1762957922785,622,114,1
1762957922793,627,114,1
1762957922801,630,114,1
1762957922801,634,114,1
1762957922818,638,114,1
1762957922818,641,115,1
1762957922833,644,115,1
1762957922841,648,116,1
1762957922848,650,117,1
1762957922848,653,118,1
1762957922864,655,119,1
1762957922872,659,120,1
1762957922880,664,121,1
1762957922887,668,123,1
1762957922896,674,124,1
1762957922896,679,126,1
1762957922912,684,128,1
1762957922920,690,130,1
1762957922928,695,133,1
1762957922938,702,135,1
1762957922944,709,138,1
1762957922953,718,142,1
1762957922960,726,146,1
1762957922960,733,148,1
1762957922976,740,152,1
1762957922976,746,155,1
1762957922995,753,160,1
1762957922995,759,164,1
1762957923009,765,168,1
1762957923009,770,172,1
1762957923027,773,177,1
1762957923029,776,179,1
1762957923039,779,182,1
1762957923039,782,186,1
1762957923059,784,189,1
1762957923059,786,192,1
1762957923072,788,194,1
1762957923082,788,197,1
1762957923087,790,201,1
1762957923087,791,203,1
1762957923104,792,207,1
1762957923114,793,210,1
1762957923119,794,213,1
1762957923119,795,217,1
1762957923139,796,220,1
1762957923145,796,223,1
1762957923151,797,227,1
1762957923151,797,231,1
1762957923168,797,235,1
1762957923178,797,240,1
1762957923187,797,245,1
1762957923187,797,252,1
1762957923230,797,276,0
1762957923235,797,283,0
1762957923241,797,289,0
1762957923246,797,296,0
1762957923246,797,301,0
1762957923264,796,306,0
1762957923264,795,311,0
