screenWidth 1104;screenHeight 661;cornerX 302;cornerY 80;centerX 552;centerY 330;externalRadius 250;internalRadius 170;borderRadius 1;cursorRadius 16;indexOfDifficulty 28.00696429476858;taskRadius 209.5;taskTolerance 47;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];autoStart 3600;cycleMaxNumber 6;cycleDuration 20;software LSL-mouse;version 1.2.0rc5;task CircularTarget;isWithLSL false
2021-03-26 17:38:25.650

timestamp,mouseX,mouseY,mouseInTarget
1616776712329,501,554,1
1616776712351,487,551,1
1616776712356,484,550,1
1616776712359,481,549,1
1616776712366,478,548,1
1616776712372,475,547,1
1616776712375,473,546,1
1616776712382,470,545,1
1616776712384,467,544,1
1616776712389,464,543,1
1616776712396,461,542,1
1616776712398,459,541,1
1616776712404,456,540,1
1616776712412,453,539,1
1616776712413,451,537,1
1616776712419,448,536,1
1616776712425,445,535,1
1616776712429,443,534,1
1616776712435,440,533,1
1616776712442,438,532,1
1616776712443,435,531,1
1616776712450,433,531,0
1616776712454,430,530,0
1616776712458,428,530,0
1616776712464,426,529,0
1616776712472,423,529,0
1616776712474,420,529,0
1616776712479,418,529,0
1616776712486,415,528,0
1616776712489,412,528,0
1616776712494,409,528,0
1616776712502,406,528,0
1616776712503,403,528,0
1616776712509,400,528,0
1616776712515,397,528,0
1616776712519,394,528,0
1616776712525,391,528,0
1616776712532,388,528,0
1616776712533,385,528,0
1616776712539,382,528,0
1616776712546,379,528,0
1616776712548,375,528,0
1616776712554,372,528,0
1616776712557,369,528,0
1616776712563,365,528,0
1616776712570,362,528,0
1616776712572,358,528,0
1616776712578,355,528,0
1616776712584,351,528,0
1616776712587,347,527,0
1616776712593,343,527,0
1616776712599,339,527,0
1616776712602,335,527,0
1616776712608,331,526,0
1616776712614,327,526,0
1616776712618,323,526,0
1616776712623,319,526,0
1616776712629,315,525,0
1616776712633,311,525,0
1616776712638,307,524,0
1616776712644,303,524,0
1616776712648,299,523,0
1616776712653,296,522,0
1616776712659,292,522,0
1616776712662,289,521,0
1616776712668,285,520,0
1616776712674,281,519,0
1616776712677,278,518,0
1616776712683,275,517,0
1616776712689,271,516,0
1616776712693,268,515,0
1616776712698,265,513,0
1616776712705,262,512,0
1616776712707,259,511,0
1616776712713,255,509,0
1616776712719,252,508,0
1616776712723,249,507,0
1616776712728,246,505,0
1616776712732,243,504,0
1616776712737,241,503,0
1616776712743,238,501,0
1616776712746,235,500,0
1616776712752,233,499,0
1616776712758,230,497,0
1616776712762,228,496,0
1616776712767,226,494,0
